stuID,schID,gender,pre_region,trans_stu,trans_pa,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1,multicultur_per,sch_SES,sch_academic_abil
17,1001,2,1,2,2,5,4,4,5,4,4,3,4,4,4,4,5,4,4,5,4,4,4,5,5,5,5,5,3,5,5,5,4,3,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,3,4,3,3,4,3,3,2,300,1,1,0,0,0,0,0,0,0,172.3333333,0,25.74257426,,
18,1001,1,1,2,2,4,3,4,3,3,3,4,2,3,3,3,4,3,4,4,3,3,3,2,2,2,4,4,3,4,4,4,3,2,4,3,4,3,4,4,4,3,3,3,3,4,4,2,1,3,3,3,3,4,3,2,2,300,2,0,1,0,0,0,0,0,0,174.3333333,0,25.74257426,,
19,1001,2,1,2,2,3,4,5,5,5,3,4,5,3,5,5,4,4,4,5,4,4,4,5,5,5,4,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,2,3,3,3,3,3,3,2,100,2,0,1,0,0,0,0,0,0,189.6666667,0,25.74257426,,
20,1001,1,1,2,2,5,5,5,5,5,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,3,3,4,4,3,4,1,3,3,4,4,5,3,5,4,4,4,4,4,4,3,1,300,1,1,0,0,0,0,0,0,0,221,0,25.74257426,,
21,1001,1,1,2,2,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,4,5,3,3,5,5,4,5,5,5,5,4,5,5,5,5,4,4,2,4,5,1,5,5,5,5,1,450,4,0,0,0,1,0,0,0,0,146.6666667,0,25.74257426,,
22,1001,2,1,2,2,5,4,4,5,4,3,4,2,3,2,5,5,4,5,4,4,4,5,4,5,5,5,4,3,3,3,4,4,4,4,4,3,4,5,3,5,4,4,3,3,4,4,4,2,1,5,4,5,5,5,5,3,300,1,1,0,0,0,0,0,0,0,210.3333333,0,25.74257426,,
23,1001,1,1,2,2,3,3,3,4,4,3,3,2,3,4,5,5,4,4,4,4,3,3,3,4,4,5,3,3,3,3,4,2,2,3,3,3,3,3,3,4,3,4,4,3,4,2,3,2,2,3,2,2,3,4,4,2,300,3,0,0,1,0,0,0,0,0,190.3333333,0,25.74257426,,
24,1001,2,1,2,2,4,3,4,5,3,3,3,3,3,3,3,4,4,5,5,4,5,5,5,5,5,5,4,3,2,3,4,4,3,5,3,4,4,4,4,4,4,4,4,4,4,3,4,3,-1,4,4,3,5,4,4,4,300,5,0,0,0,0,1,0,0,0,163,0,25.74257426,,
25,1001,2,1,2,2,3,4,4,4,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,3,4,5,5,4,5,4,3,1,5,3,3,5,5,3,3,3,4,5,5,4,5,5,3,3,5,5,3,5,5,4,3,120,1,1,0,0,0,0,0,0,0,221.3333333,1,25.74257426,,
26,1001,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,3,3,3,2,3,3,4,4,2,600,3,0,0,1,0,0,0,0,0,244.3333333,0,25.74257426,,
27,1001,1,1,2,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,400,1,1,0,0,0,0,0,0,0,181.3333333,0,25.74257426,,
28,1001,2,1,2,2,5,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,70,3,0,0,1,0,0,0,0,0,204.3333333,0,25.74257426,,
29,1001,2,1,2,2,4,5,4,4,4,4,4,4,4,3,4,5,3,4,5,3,4,4,3,4,3,4,4,3,4,4,4,4,4,5,4,3,4,3,3,4,3,4,4,4,3,2,2,1,3,1,2,2,2,3,3,2,300,1,1,0,0,0,0,0,0,0,180.3333333,0,25.74257426,,
30,1001,2,1,2,2,5,5,4,4,3,5,5,4,4,4,4,5,4,4,4,4,3,3,2,3,1,3,5,4,3,3,3,2,2,3,2,4,3,3,2,3,3,3,3,3,3,5,3,2,3,3,2,4,4,4,4,2,350,2,0,1,0,0,0,0,0,0,154,0,25.74257426,,
31,1001,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,4,5,4,3,4,2,3,4,3,3,4,3,3,4,3,3,4,3,4,4,2,1,3,4,4,2,2,3,4,2,200,1,1,0,0,0,0,0,0,0,206.3333333,0,25.74257426,,
32,1001,1,1,2,2,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,4,3,4,4,4,5,4,4,4,4,5,4,4,4,4,4,2,2,4,3,4,1,400,1,1,0,0,0,0,0,0,0,199.6666667,0,25.74257426,,
33,1001,1,1,2,2,4,3,3,4,3,3,3,3,3,2,3,5,5,3,5,4,5,5,3,4,3,5,4,4,2,3,3,4,3,4,4,3,5,4,4,4,4,4,4,4,4,3,5,3,3,3,1,3,4,5,5,2,120,1,1,0,0,0,0,0,0,0,178.3333333,0,25.74257426,,
34,1001,2,1,2,2,4,3,3,3,3,3,4,3,4,2,3,5,4,3,4,3,3,3,3,3,3,3,2,5,1,3,2,3,5,5,3,1,3,3,4,4,3,3,2,3,3,3,3,2,2,4,2,4,4,4,4,2,200,1,1,0,0,0,0,0,0,0,201,0,25.74257426,,
35,1001,2,1,2,2,4,4,3,5,4,5,5,5,5,5,5,4,4,3,3,4,5,5,5,5,5,5,4,3,2,3,4,1,1,5,5,4,5,5,5,5,5,5,5,5,5,3,4,2,2,3,4,2,4,4,3,4,100,5,0,0,0,0,1,0,0,0,141,0,25.74257426,,
36,1002,2,1,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,2,3,3,3,4,4,5,5,3,600,5,0,0,0,0,1,0,0,0,170.3333333,0,6.756756757,,
37,1002,1,1,2,2,4,3,3,4,3,3,3,3,3,4,5,4,4,3,4,3,4,3,3,4,3,4,4,4,3,4,5,4,2,3,4,3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,4,3,2,2,450,6,0,0,0,0,0,1,0,0,205,0,6.756756757,,
38,1002,1,1,2,2,5,4,5,5,4,5,5,1,3,1,1,5,3,4,5,4,3,3,2,2,3,2,5,5,2,5,5,2,2,3,4,2,3,4,3,4,3,4,4,4,4,3,3,2,4,4,2,2,4,4,3,4,500,4,0,0,0,1,0,0,0,0,218,0,6.756756757,,
39,1002,2,1,2,2,5,4,4,5,4,4,4,4,4,3,4,5,5,5,5,5,5,4,4,5,4,5,5,4,3,5,4,3,2,3,4,2,4,4,4,3,2,3,3,4,3,4,4,2,4,4,4,3,4,4,3,3,-1,6,0,0,0,0,0,1,0,0,188.3333333,0,6.756756757,,
40,2037,1,1,1,1,4,5,4,4,5,4,4,2,4,1,2,5,5,5,5,5,5,4,2,4,2,4,3,4,4,4,4,2,2,3,3,4,4,4,3,5,4,5,4,4,3,3,4,3,4,4,3,3,4,4,3,3,600,4,0,0,0,1,0,0,0,0,214.6666667,0,#VALUE!,,
41,1002,2,1,2,2,5,3,4,5,3,4,4,4,4,3,4,4,4,4,4,4,5,5,3,5,3,5,3,3,2,4,3,5,3,5,4,4,4,3,4,4,3,5,4,4,5,5,5,5,5,4,4,4,5,5,5,2,500,1,1,0,0,0,0,0,0,0,190,0,6.756756757,,
42,1002,1,1,2,2,5,4,4,5,3,5,3,1,3,5,5,5,4,4,5,4,4,3,4,5,4,5,4,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,2,3,2,3,4,3,3,3,500,1,1,0,0,0,0,0,0,0,214.6666667,1,6.756756757,,
43,1002,2,1,2,2,5,5,5,5,4,2,2,2,2,4,5,4,3,3,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,4,5,4,3,-1,1,1,0,0,0,0,0,0,0,237,0,6.756756757,,
44,2035,1,1,1,1,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,4,5,3,5,3,4,2,3,4,3,4,4,3,4,3,4,3,4,4,5,5,5,5,5,5,3,5,5,4,5,700,6,0,0,0,0,0,1,0,0,218.3333333,0,#VALUE!,,
45,1002,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,4,5,5,4,4,2,3,3,4,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,3,4,3,3,3,4,4,4,4,360,1,1,0,0,0,0,0,0,0,195.6666667,0,6.756756757,,
46,1002,2,1,2,2,5,4,3,5,4,4,4,4,4,4,4,5,3,3,5,3,5,3,4,4,4,5,2,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3,300,1,1,0,0,0,0,0,0,0,159,0,6.756756757,,
47,1002,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,3,3,5,4,4,5,5,5,3,4,3,3,3,4,4,4,4,3,3,700,6,0,0,0,0,0,1,0,0,217.3333333,0,6.756756757,,
48,1002,1,1,2,2,5,3,4,5,4,4,4,4,4,4,5,5,4,4,4,3,4,3,3,4,4,5,4,4,5,4,3,4,4,5,3,3,3,2,3,3,3,3,4,3,4,4,4,5,4,4,2,3,5,4,4,3,500,1,1,0,0,0,0,0,0,0,177,0,6.756756757,,
49,1002,2,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,3,2,3,3,3,4,4,4,4,3,4,3,4,4,5,4,4,4,4,5,4,5,4,4,2,1000,6,0,0,0,0,0,1,0,0,224.6666667,0,6.756756757,,
50,1002,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,500,3,0,0,1,0,0,0,0,0,259.3333333,0,6.756756757,,
51,1002,1,1,2,2,5,5,5,5,5,3,3,3,3,3,3,4,4,5,5,5,4,4,4,4,5,4,5,5,5,5,5,3,3,3,3,2,3,3,3,3,2,2,4,3,3,4,4,3,3,4,3,2,4,3,3,2,300,2,0,1,0,0,0,0,0,0,153.3333333,0,6.756756757,,
52,1002,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,3,5,4,5,5,4,4,4,3,4,4,5,4,3,3,3,4,5,5,5,5,5,4,5,600,6,0,0,0,0,0,1,0,0,192.6666667,0,6.756756757,,
53,NA,2,1,NA,NA,5,4,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,3,2,3,3,3,3,3,3,3,3,4,3,4,5,5,5,5,5,4,3,5,5,5,5,500,6,0,0,0,0,0,1,0,0,250.3333333,0,#VALUE!,,
54,1002,2,1,2,2,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,5,5,4,5,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,5,4,3,4,4,4,4,4,5,4,3,650,3,0,0,1,0,0,0,0,0,238.3333333,0,6.756756757,,
55,1002,2,1,2,2,5,5,4,5,4,3,2,1,3,2,5,4,3,3,4,3,4,3,2,3,2,3,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,2,3,3,4,4,4,4,4,4,700,1,1,0,0,0,0,0,0,0,196.6666667,0,6.756756757,,
56,1002,1,1,2,2,4,3,4,3,5,4,4,2,3,2,3,4,4,3,3,3,3,4,2,4,2,4,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,1,3,4,4,1,300,1,1,0,0,0,0,0,0,0,194.6666667,1,6.756756757,,
57,1002,2,1,2,2,4,5,4,5,4,3,3,3,3,3,3,5,5,5,5,3,5,5,4,5,5,5,3,3,3,2,2,4,3,3,3,4,3,2,3,2,3,3,3,3,3,3,3,1,1,4,3,2,2,4,3,3,200,1,1,0,0,0,0,0,0,0,162.3333333,0,6.756756757,,
58,1002,2,1,2,2,5,4,3,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,2,4,5,3,3,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,3,1,2,5,4,4,3,105,2,0,1,0,0,0,0,0,0,198.6666667,0,6.756756757,,
59,1002,2,1,2,2,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,240,1,1,0,0,0,0,0,0,0,218.6666667,1,6.756756757,,
60,1002,2,1,2,2,5,4,4,5,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,3,4,4,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,4,4,2,4,4,4,2,150,1,1,0,0,0,0,0,0,0,196.3333333,0,6.756756757,,
61,1002,2,1,2,2,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,3,3,4,5,5,5,5,4,2,2,3,4,4,3,4,4,3,4,5,3,3,4,3,1,2,5,4,3,3,4,3,1,400,3,0,0,1,0,0,0,0,0,216.6666667,0,6.756756757,,
62,1002,2,1,2,2,4,5,3,4,3,4,2,3,3,5,5,4,5,3,4,4,3,3,4,3,2,3,5,3,3,4,4,3,2,4,3,4,4,3,4,4,3,5,4,4,3,3,4,3,3,3,3,3,4,5,4,3,500,1,1,0,0,0,0,0,0,0,#DIV/0!,0,6.756756757,,
63,1002,1,1,2,2,4,4,3,4,4,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,1,3,3,3,2,3,5,5,3,500,5,0,0,0,0,1,0,0,0,183.3333333,1,6.756756757,,
64,1002,1,1,2,2,5,5,5,5,5,3,1,1,1,1,1,5,5,4,5,4,2,3,2,2,2,3,3,4,4,2,1,4,4,4,4,3,4,4,4,4,3,3,3,4,3,3,5,3,4,4,4,4,4,5,4,4,450,1,1,0,0,0,0,0,0,0,163.3333333,0,6.756756757,,
65,1002,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,5,5,5,5,5,5,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,2,3,2,3,3,3,4,4,4,4,3,500,2,0,1,0,0,0,0,0,0,240.3333333,0,6.756756757,,
66,1002,1,1,2,2,5,4,5,5,5,4,3,4,5,5,5,5,4,4,4,4,5,4,4,4,4,5,5,4,4,5,5,3,2,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,3,2,3,4,4,3,3,2,350,2,0,1,0,0,0,0,0,0,161.3333333,0,6.756756757,,
67,1002,1,1,2,2,5,5,5,5,4,4,4,4,5,4,5,5,5,4,5,4,5,5,4,4,5,5,4,4,5,4,5,4,3,3,4,3,4,3,3,4,4,3,3,3,3,3,3,2,4,3,3,3,4,4,3,3,600,1,1,0,0,0,0,0,0,0,219.6666667,0,6.756756757,,
68,1002,2,1,2,2,5,4,4,4,3,4,5,5,5,5,5,3,4,3,3,3,4,4,5,3,5,5,5,4,3,4,3,3,3,5,4,3,4,5,4,4,4,4,4,4,4,2,3,2,2,4,3,4,3,3,3,3,350,1,1,0,0,0,0,0,0,0,181.3333333,0,6.756756757,,
69,1002,2,1,2,2,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,4,4,4,3,5,3,3,4,4,2,3,3,3,4,4,3,3,2,3,3,4,2,3,3,1,3,4,4,3,1,650,1,1,0,0,0,0,0,0,0,183.6666667,1,6.756756757,,
70,1002,2,1,2,2,5,4,4,4,3,5,5,5,4,4,3,5,4,4,5,4,3,3,3,3,3,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,4,3,2,2,4,3,3,2,190,2,0,1,0,0,0,0,0,0,156.3333333,0,6.756756757,,
71,1002,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,5,4,3,2,5,5,4,1,1000,4,0,0,0,1,0,0,0,0,213.6666667,0,6.756756757,,
72,1003,2,1,2,2,3,3,4,5,5,4,5,2,4,1,4,3,3,2,2,3,3,4,3,4,3,4,4,4,2,4,4,4,4,4,4,3,5,4,4,5,5,5,4,3,3,3,4,4,4,3,1,2,4,5,3,2,300,1,1,0,0,0,0,0,0,0,200,0,19.64285714,,
73,1003,1,1,2,2,5,5,5,5,5,5,5,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,4,5,5,5,3,500,1,1,0,0,0,0,0,0,0,250.3333333,0,19.64285714,,
74,1003,2,1,2,2,5,5,3,4,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,600,6,0,0,0,0,0,1,0,0,211,0,19.64285714,,
75,1003,1,1,2,2,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,4,4,4,5,5,5,4,4,5,5,4,4,3,4,5,4,5,5,5,4,5,4,5,-1,3,4,5,5,3,4,4,4,4,5,4,4,4,290,1,1,0,0,0,0,0,0,0,227.6666667,1,19.64285714,,
76,1003,1,1,2,2,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,5,4,4,4,5,5,5,3,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,3,4,4,3,2,2,2,3,5,4,4,4,4,450,1,1,0,0,0,0,0,0,0,198.3333333,0,19.64285714,,
77,1003,2,1,2,2,5,4,4,5,4,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,5,3,-1,3,2,1,2,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,2,4,5,4,3,350,2,0,1,0,0,0,0,0,0,164.3333333,2,19.64285714,,
78,1003,2,1,2,2,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,4,2,4,4,4,4,4,500,6,0,0,0,0,0,1,0,0,236,0,19.64285714,,
79,1003,1,1,2,2,5,4,3,5,4,4,3,3,5,5,5,5,5,4,5,5,4,4,5,5,5,5,4,4,3,3,4,2,2,4,4,2,3,4,3,3,3,3,3,2,3,4,4,4,4,4,3,3,4,4,4,2,200,1,1,0,0,0,0,0,0,0,224,1,19.64285714,,
80,1003,1,1,2,2,5,4,3,5,3,3,3,3,3,3,3,5,3,3,5,5,3,3,3,3,5,5,4,4,3,5,3,3,3,4,5,3,5,2,3,4,2,4,5,1,1,3,5,4,4,3,1,3,4,4,5,1,300,1,1,0,0,0,0,0,0,0,187.6666667,0,19.64285714,,
81,1003,1,1,2,2,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,2,3,2,5,5,4,3,2,4,5,5,4,4,5,3,5,4,4,5,4,4,2,4,4,4,4,3,5,4,4,1500,1,1,0,0,0,0,0,0,0,172,0,19.64285714,,
82,1003,1,1,2,2,3,4,4,3,4,4,3,3,3,3,5,5,5,5,4,5,4,5,4,5,5,5,4,3,3,3,3,3,2,4,3,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,4,2,300,2,0,1,0,0,0,0,0,0,132.6666667,0,19.64285714,,
