,stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per
11,14,4769,2,1,0,5,5,5,5,5,5,5,1,3,1,5,5,5,5,5,5,3,2,2,2,2,2,3,3,4,4,4,4,4,4,2,2,1,1,1,150,1,0,0,0,0,0,0,0,0,0,244,8.121827411
12,15,4765,1,1,0,4,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,180,1,0,0,0,0,0,0,0,0,0,141.6666667,2.469135802
13,16,4764,1,1,0,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,2,4,2,3,4,3,3,4,4,4,3,3,4,4,4,3,4,2,170,0,1,0,0,0,0,0,0,0,0,167,10.75268817
14,17,4763,2,1,0,5,3,4,5,4,5,5,5,5,5,5,5,3,3,4,5,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,200,1,0,0,0,0,0,0,0,0,0,199,3.448275862
15,19,4763,2,1,0,4,4,4,5,5,4,4,5,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,200,1,0,0,0,0,0,0,0,0,0,200.3333333,3.448275862
16,21,4765,1,1,0,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,4,4,350,1,0,0,0,0,0,0,0,0,0,136.3333333,2.469135802
17,22,4763,2,1,0,4,4,4,4,4,4,4,4,4,4,5,4,4,3,5,4,2,2,3,2,5,2,3,3,3,3,4,3,3,4,4,3,2,2,1,250,0,0,0,0,0,0,1,0,0,0,224.3333333,3.448275862
18,23,4759,1,1,0,4,4,4,4,4,4,3,4,4,4,3,1,1,3,5,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,150,1,0,0,0,0,0,0,0,0,0,214,2.702702703
19,24,4769,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,700,0,0,0,0,1,0,0,0,0,0,188.6666667,8.121827411
20,25,4769,2,1,0,4,4,3,4,4,5,5,4,4,3,4,5,5,3,4,4,3,3,5,4,3,3,4,5,4,4,4,3,3,3,5,5,5,4,5,200,1,0,0,0,0,0,0,0,0,0,275,8.121827411
21,26,4769,2,1,0,3,3,3,3,3,4,4,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,4,600,1,0,0,0,0,0,0,0,0,0,272,8.121827411
22,27,4765,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,3,3,4,450,1,0,0,0,0,0,0,0,0,0,187,2.469135802
23,30,4769,2,1,0,4,3,3,3,3,5,5,4,4,3,3,3,3,3,3,3,4,4,4,4,4,1,2,4,2,4,4,3,2,2,4,3,2,2,2,100,0,0,0,0,0,0,0,1,0,0,165.6666667,8.121827411
24,31,4765,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,4,3,3,2,2,2,2,3,3,5,4,2,2,1,200,1,0,0,0,0,0,0,0,0,0,243.6666667,2.469135802
25,32,4779,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,2,1,550,1,0,0,0,0,0,0,0,0,0,251.6666667,12.5
26,33,4765,1,1,0,3,3,3,4,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,2,3,2,3,150,0,0,1,0,0,0,0,0,0,0,200,2.469135802
27,34,4769,2,1,0,5,4,4,4,3,3,3,4,4,5,4,4,2,2,3,3,2,2,3,2,1,3,4,4,3,2,4,4,4,5,3,4,4,3,2,230,0,1,0,0,0,0,0,0,0,0,219.3333333,8.121827411
28,35,4769,2,1,0,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,150,0,1,0,0,0,0,0,0,0,0,181.3333333,8.121827411
29,36,4760,2,1,0,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,500,1,0,0,0,0,0,0,0,0,0,185,6.12244898
30,37,4778,1,1,0,5,5,5,5,5,3,3,4,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,400,1,0,0,0,0,0,0,0,0,0,219,1.818181818
31,38,4574,1,1,0,5,1,2,5,1,4,4,3,3,4,5,5,5,3,4,4,5,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,650,1,0,0,0,0,0,0,0,0,0,266.6666667,0.440528634
32,40,4775,1,1,0,5,5,5,5,5,4,4,4,4,4,4,4,4,2,4,3,4,3,3,3,2,4,3,4,3,4,2,2,3,3,4,2,2,3,2,600,0,0,0,0,0,0,1,0,0,0,204.3333333,2.456140351
33,41,4777,2,1,0,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,2,600,0,0,0,0,0,0,0,1,0,0,210.3333333,4.166666667
34,42,4778,1,1,0,5,4,4,5,5,4,4,3,4,4,4,3,3,2,3,4,4,4,4,4,2,3,3,2,4,3,3,2,4,4,1,1,3,2,4,600,0,0,0,0,0,1,0,0,0,0,238.6666667,1.818181818
35,43,4760,2,1,0,4,2,3,3,3,3,4,2,4,4,5,2,2,2,2,2,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,400,0,0,0,0,1,0,0,0,0,0,244.3333333,6.12244898
36,44,4734,1,1,0,5,4,5,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,2,4,2,4,3,3,3,3,3,3,3,3,4,4,3,4,4,600,0,0,0,0,0,0,0,1,0,0,267.6666667,0.255102041
37,45,4761,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,759,1,0,0,0,0,0,0,0,0,0,191.3333333,5.633802817
38,46,4777,2,1,0,4,3,4,4,4,4,4,5,5,5,5,3,2,1,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,300,1,0,0,0,0,0,0,0,0,0,164,4.166666667
39,47,4761,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,450,0,0,0,0,0,0,0,1,0,0,273.3333333,5.633802817
40,48,5260,1,1,0,4,4,4,5,4,5,5,5,5,5,5,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,350,1,0,0,0,0,0,0,0,0,0,198.3333333,7.874015748
41,49,4757,2,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,3,3,3,3,4,2,3,4,4,4,4,4,2,800,0,0,1,0,0,0,0,0,0,0,258.3333333,2.083333333
42,50,4760,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,4,4,4,3,5,4,5,5,5,5,5,4,4,600,0,0,1,0,0,0,0,0,0,0,271.6666667,6.12244898
43,51,4761,1,1,0,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,1,3,4,2,2,3,3,3,2,3,2,3,4,2,4,4,4,4,4,300,0,1,0,0,0,0,0,0,0,0,179,5.633802817
44,52,4777,2,1,0,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,5,5,3,3,3,300,1,0,0,0,0,0,0,0,0,0,201.3333333,4.166666667
45,54,4742,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,650,0,0,0,0,0,0,0,1,0,0,264,1.149425287
46,55,4777,2,1,0,4,3,3,4,2,3,3,3,3,3,3,3,2,1,3,2,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,500,0,0,0,0,0,0,1,0,0,0,214.3333333,4.166666667
47,57,4760,2,1,0,5,5,5,3,2,4,4,5,5,1,1,4,3,4,3,3,3,4,4,4,2,3,3,3,3,3,3,2,4,3,3,3,3,2,1,200,1,0,0,0,0,0,0,0,0,0,162,6.12244898
48,58,4777,2,1,0,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,5,3,2,4,3,4,4,4,3,4,4,4,4,4,4,5,2,3,2,1,150,0,0,0,0,0,0,0,0,1,0,175.3333333,4.166666667
49,59,4760,2,1,0,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,250,0,0,0,0,1,0,0,0,0,0,259,6.12244898
50,60,4777,2,1,0,5,4,4,5,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,2,3,3,3,3,4,3,3,3,4,4,3,4,4,3,4,110,1,0,0,0,0,0,0,0,0,0,186.3333333,4.166666667
51,61,4584,2,1,0,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,2,3,3,3,2,2,3,3,4,4,3,3,4,3,4,4,4,3,2,500,0,0,0,0,0,1,0,0,0,0,244.6666667,7.407407407
52,62,4777,2,1,0,4,4,3,4,3,4,3,2,2,2,3,3,3,2,3,3,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,317,1,0,0,0,0,0,0,0,0,0,167.3333333,4.166666667
53,63,4731,1,1,0,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,5,4,2,3,2,500,0,0,0,0,1,0,0,0,0,0,185,2.116402116
54,64,4761,1,1,0,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,4,3,4,3,4,3,3,1,2,2,2,3,3,4,3,3,3,2,450,1,0,0,0,0,0,0,0,0,0,173.3333333,5.633802817
55,65,4761,1,1,0,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,2,2,2,2,3,500,1,0,0,0,0,0,0,0,0,0,241.6666667,5.633802817
56,66,5250,1,2,0,5,5,5,5,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,550,0,1,0,0,0,0,0,0,0,0,200.6666667,7.096774194
57,67,4761,1,1,0,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,3,3,3,2,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,400,0,0,1,0,0,0,0,0,0,0,229.6666667,5.633802817
58,68,4760,2,1,0,5,4,4,4,3,4,4,4,4,4,4,4,5,1,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,1,450,1,0,0,0,0,0,0,0,0,0,196.6666667,6.12244898
59,69,4688,2,1,0,4,4,4,4,4,4,4,5,5,5,5,4,4,2,3,3,3,4,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,300,0,0,0,0,1,0,0,0,0,0,185.3333333,2.489626556
60,71,4761,1,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,2,4,4,3,4,4,4,3,3,4,4,4,3,5,4,3,4,3,300,0,0,0,0,0,0,0,1,0,0,225,5.633802817
61,72,4772,2,1,0,5,4,3,5,4,4,3,3,2,2,3,3,3,4,3,3,4,3,4,4,5,4,3,4,4,4,5,4,4,4,3,3,3,4,2,340,0,1,0,0,0,0,0,0,0,0,203.6666667,10.07194245
62,73,4770,1,1,0,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,450,0,1,0,0,0,0,0,0,0,0,294.6666667,2.916666667
63,74,4772,2,1,0,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,800,0,0,0,0,0,0,0,1,0,0,279,10.07194245
64,75,4766,1,1,0,5,5,4,5,5,5,5,5,5,5,5,3,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,310,1,0,0,0,0,0,0,0,0,0,260.6666667,5.319148936
65,76,4766,1,1,0,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,500,1,0,0,0,0,0,0,0,0,0,238.6666667,5.319148936
66,77,4772,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,2,4,4,3,4,2,2,3,2,3,3,3,4,4,3,3,3,4,400,0,1,0,0,0,0,0,0,0,0,167.3333333,10.07194245
67,78,4772,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,2,2,3,4,5,4,4,5,3,3,4,5,5,5,5,5,300,0,0,0,0,0,0,0,1,0,0,246,10.07194245
68,79,4782,1,1,0,5,4,4,4,5,4,4,3,4,4,5,5,5,3,4,5,3,2,3,2,2,3,3,3,4,3,4,3,3,4,3,3,2,2,4,300,1,0,0,0,0,0,0,0,0,0,199.3333333,4.109589041
69,80,4766,1,1,0,5,3,3,5,3,3,3,1,4,5,4,4,3,1,5,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,300,0,1,0,0,0,0,0,0,0,0,202.6666667,5.319148936
70,81,4766,1,1,1,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,5,2,1,2,1,3,3,3,4,3,1,5,4,3,4,4,3,4,3,2,1000,0,1,0,0,0,0,0,0,0,0,189.3333333,5.319148936
71,82,4766,1,1,0,5,5,5,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,250,0,1,0,0,0,0,0,0,0,0,161.6666667,5.319148936
72,84,4780,2,1,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,2,600,1,0,0,0,0,0,0,0,0,0,216.3333333,4.87804878
73,85,4772,2,1,0,5,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,390,1,0,0,0,0,0,0,0,0,0,223.6666667,10.07194245
74,86,4766,1,1,0,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,2,3,3,2,3,3,4,4,4,3,4,3,4,4,4,4,3,3,1,300,1,0,0,0,0,0,0,0,0,0,239.3333333,5.319148936
75,89,4770,1,1,1,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,2,2,2,400,1,0,0,0,0,0,0,0,0,0,182.6666667,2.916666667
76,90,4766,1,1,0,5,4,3,2,4,3,4,5,4,4,3,2,2,1,4,2,3,2,4,2,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,400,1,0,0,0,0,0,0,0,0,0,237.6666667,5.319148936
77,91,4766,1,1,0,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,3,160,1,0,0,0,0,0,0,0,0,0,272.3333333,5.319148936
78,92,4766,1,1,0,4,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,400,1,0,0,0,0,0,0,0,0,0,162.6666667,5.319148936
79,93,4766,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,3,600,0,0,0,0,0,0,1,0,0,0,264,5.319148936
80,94,4766,1,1,0,3,3,4,4,3,4,5,5,5,5,5,4,4,3,4,4,2,1,3,2,2,4,4,3,4,3,4,3,3,4,3,3,4,3,4,200,1,0,0,0,0,0,0,0,0,0,177,5.319148936
81,95,4766,1,1,0,5,5,5,5,5,3,3,3,3,3,4,5,5,4,5,5,2,3,4,3,2,3,2,2,2,2,2,3,4,3,4,4,3,3,1,250,1,0,0,0,0,0,0,0,0,0,209.3333333,5.319148936
82,96,4766,1,1,0,4,4,3,5,4,3,3,3,3,3,4,4,5,2,3,4,3,3,4,4,4,3,3,4,4,3,4,3,4,3,4,3,2,2,2,450,0,0,1,0,0,0,0,0,0,0,270,5.319148936
83,97,4766,1,1,0,4,4,4,4,4,5,4,4,5,4,5,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,600,0,0,1,0,0,0,0,0,0,0,270.6666667,5.319148936
84,98,4772,2,1,0,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,400,0,0,0,1,0,0,0,0,0,0,264.3333333,10.07194245
85,99,4766,1,1,0,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,4,450,0,0,0,0,0,0,0,1,0,0,184.3333333,5.319148936
86,100,4772,2,1,0,5,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,4,5,5,4,5,4,4,3,4,4,3,3,3,3,4,4,3,190,1,0,0,0,0,0,0,0,0,0,171,10.07194245
87,101,4718,1,1,0,3,4,4,4,3,4,4,4,4,4,4,3,3,2,3,4,2,1,4,3,2,4,3,2,2,3,3,3,2,3,3,3,2,3,2,400,1,0,0,0,0,0,0,0,0,0,190,1.162790698
88,103,4772,2,1,0,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,2,267,1,0,0,0,0,0,0,0,0,0,259.6666667,10.07194245
89,104,4772,2,1,0,5,4,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,5,3,3,4,3,4,5,4,4,3,5,3,5,5,3,3,1,200,0,0,0,0,0,0,1,0,0,0,176,10.07194245
90,105,4704,2,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,3,5,5,2,2,3,2,5,5,2,3,3,5,5,5,3,5,5,5,3,5,5,250,1,0,0,0,0,0,0,0,0,0,158.6666667,1.762114537
91,106,4772,2,1,0,4,4,4,5,5,3,3,5,5,5,5,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,3,1,500,0,0,0,0,0,0,0,1,0,0,246.3333333,10.07194245
92,108,4772,2,1,0,5,4,4,5,4,4,3,4,4,4,4,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,100,0,0,0,0,0,0,0,1,0,0,255.3333333,10.07194245
93,109,4766,1,1,0,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,2,2,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,4,2,400,1,0,0,0,0,0,0,0,0,0,199,5.319148936
94,111,4704,2,1,0,4,3,2,3,3,4,4,4,4,4,4,2,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,250,1,0,0,0,0,0,0,0,0,0,181.6666667,1.762114537
95,114,4442,2,2,0,3,3,3,3,3,4,4,3,4,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,800,1,0,0,0,0,0,0,0,0,0,259.3333333,0
96,116,4772,2,1,1,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,2,1,300,1,0,0,0,0,0,0,0,0,0,199,10.07194245
97,119,4770,1,1,0,4,5,4,4,4,4,4,2,4,4,5,4,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,5,4,2,450,1,0,0,0,0,0,0,0,0,0,227.3333333,2.916666667
98,121,4741,1,1,0,4,4,4,5,3,3,3,4,4,3,4,4,4,3,4,3,2,2,2,3,3,3,3,3,3,3,3,3,4,3,1,2,2,2,2,400,1,0,0,0,0,0,0,0,0,0,209.6666667,0
99,122,4741,1,1,0,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,3,3,2,3,3,2,2,2,1,2,2,2,3,4,5,4,3,4,750,0,0,0,0,0,0,1,0,0,0,223.3333333,0
100,123,4740,2,1,0,5,4,5,5,5,4,3,5,5,5,5,3,4,3,5,5,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,4,3,2,2,1200,0,0,0,0,0,0,0,1,0,0,275.6666667,1.162790698
101,124,4861,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,130,1,0,0,0,0,0,0,0,0,0,221.3333333,5.309734513
102,125,4746,2,1,0,4,4,4,4,4,3,3,4,3,3,4,3,4,3,3,3,3,2,3,2,2,3,4,4,3,3,3,3,3,4,3,4,3,3,4,500,0,0,1,0,0,0,0,0,0,0,259.6666667,3.076923077
103,126,4746,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,2,300,0,0,0,0,0,0,0,1,0,0,279.3333333,3.076923077
104,127,4741,1,1,0,5,4,5,5,3,4,4,5,3,2,4,5,5,4,5,5,2,2,2,4,2,2,1,2,4,2,4,3,5,3,3,3,3,3,3,400,0,1,0,0,0,0,0,0,0,0,259.6666667,0
105,128,4741,2,1,0,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,250,0,0,0,0,0,0,1,0,0,0,268,0
106,129,4741,2,1,0,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,300,0,0,0,0,1,0,0,0,0,0,214.3333333,0
107,130,4740,2,1,0,5,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,500,0,0,0,0,0,0,1,0,0,0,286.3333333,1.162790698
108,131,4746,2,1,0,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,3,3,2,2,2,500,1,0,0,0,0,0,0,0,0,0,182.3333333,3.076923077
109,132,4747,2,1,0,5,5,4,5,5,4,4,4,4,4,4,3,3,2,5,4,2,2,3,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,2,500,1,0,0,0,0,0,0,0,0,0,257.6666667,4.385964912
110,133,4740,2,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1000,0,0,0,0,0,0,0,0,0,1,138,1.162790698
111,134,4741,2,1,0,5,5,5,5,5,4,4,4,4,4,4,3,5,2,3,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,2,2,2,2,500,0,0,0,0,0,0,1,0,0,0,222,0
