stuID,schID,gender,pre_region,trans,pre_frendship_1,pre_frendship_2,pre_frendship_3,pre_frendship_4,pre_frendship_5,post_frendship_1,post_frendship_2,post_frendship_3,post_frendship_4,post_frendship_5,post_frendship_6,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,SES,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,prefer_Hsch_dum_9,prefer_Hsch_dum_10,academic_abil,multicultur_per,seoul,bigcity,smallcity,rural,sch_SES,sch_academic_abil,trans_Y1,trans_Y2,trans_Y3
25,4769,2,1,0,4,4,3,4,4,5,5,4,4,3,4,5,5,3,4,4,3,3,5,4,3,3,4,5,4,4,4,3,3,3,5,5,5,4,5,200,1,0,0,0,0,0,0,0,0,0,275,8.121827411,1,0,0,0,350.6923077,216.2307692,1,0,0
26,4769,2,1,0,3,3,3,3,3,4,4,2,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,4,600,1,0,0,0,0,0,0,0,0,0,272,8.121827411,1,0,0,0,350.6923077,216.2307692,0,0,0
27,4765,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,3,3,4,450,1,0,0,0,0,0,0,0,0,0,187,2.469135802,1,0,0,0,286.6666667,181.8518519,0,0,0
30,4769,2,1,0,4,3,3,3,3,5,5,4,4,3,3,3,3,3,3,3,4,4,4,4,4,1,2,4,2,4,4,3,2,2,4,3,2,2,2,100,0,0,0,0,0,0,0,1,0,0,165.6666667,8.121827411,1,0,0,0,350.6923077,216.2307692,0,0,0
31,4765,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,3,4,3,3,2,2,2,2,3,3,5,4,2,2,1,200,1,0,0,0,0,0,0,0,0,0,243.6666667,2.469135802,1,0,0,0,286.6666667,181.8518519,0,0,0
32,4779,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,2,1,550,1,0,0,0,0,0,0,0,0,0,251.6666667,12.5,1,0,0,0,550,251.6666667,0,0,0
33,4765,1,1,0,3,3,3,4,3,4,4,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,2,3,2,3,150,0,0,1,0,0,0,0,0,0,0,200,2.469135802,1,0,0,0,286.6666667,181.8518519,0,0,0
34,4769,2,1,0,5,4,4,4,3,3,3,4,4,5,4,4,2,2,3,3,2,2,3,2,1,3,4,4,3,2,4,4,4,5,3,4,4,3,2,230,0,1,0,0,0,0,0,0,0,0,219.3333333,8.121827411,1,0,0,0,350.6923077,216.2307692,0,0,0
35,4769,2,1,0,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,150,0,1,0,0,0,0,0,0,0,0,181.3333333,8.121827411,1,0,0,0,350.6923077,216.2307692,0,0,0
36,4760,2,1,0,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,500,1,0,0,0,0,0,0,0,0,0,185,6.12244898,1,0,0,0,487.5,224.5185185,0,0,0
37,4778,1,1,0,5,5,5,5,5,3,3,4,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,400,1,0,0,0,0,0,0,0,0,0,219,1.818181818,1,0,0,0,500,228.8333334,0,0,0
38,4574,1,1,0,5,1,2,5,1,4,4,3,3,4,5,5,5,3,4,4,5,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,650,1,0,0,0,0,0,0,0,0,0,266.6666667,0.440528634,1,0,0,0,1150,256.8888889,0,0,0
40,4775,1,1,0,5,5,5,5,5,4,4,4,4,4,4,4,4,2,4,3,4,3,3,3,2,4,3,4,3,4,2,2,3,3,4,2,2,3,2,600,0,0,0,0,0,0,1,0,0,0,204.3333333,2.456140351,1,0,0,0,700,230.25,0,1,0
41,4777,2,1,0,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,2,600,0,0,0,0,0,0,0,1,0,0,210.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
42,4778,1,1,0,5,4,4,5,5,4,4,3,4,4,4,3,3,2,3,4,4,4,4,4,2,3,3,2,4,3,3,2,4,4,1,1,3,2,4,600,0,0,0,0,0,1,0,0,0,0,238.6666667,1.818181818,1,0,0,0,500,228.8333334,1,0,0
43,4760,2,1,0,4,2,3,3,3,3,4,2,4,4,5,2,2,2,2,2,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,400,0,0,0,0,1,0,0,0,0,0,244.3333333,6.12244898,1,0,0,0,487.5,224.5185185,0,0,0
44,4734,1,1,0,5,4,5,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,2,4,2,4,3,3,3,3,3,3,3,3,4,4,3,4,4,600,0,0,0,0,0,0,0,1,0,0,267.6666667,0.255102041,1,0,0,0,1050,266.1666667,0,1,0
45,4761,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,759,1,0,0,0,0,0,0,0,0,0,191.3333333,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
46,4777,2,1,0,4,3,4,4,4,4,4,5,5,5,5,3,2,1,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,300,1,0,0,0,0,0,0,0,0,0,164,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
47,4761,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,450,0,0,0,0,0,0,0,1,0,0,273.3333333,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
48,5260,1,1,0,4,4,4,5,4,5,5,5,5,5,5,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,350,1,0,0,0,0,0,0,0,0,0,198.3333333,7.874015748,1,0,0,0,350,198.3333333,0,0,0
49,4757,2,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,4,4,3,3,3,3,4,2,3,4,4,4,4,4,2,800,0,0,1,0,0,0,0,0,0,0,258.3333333,2.083333333,1,0,0,0,450,219,0,0,0
50,4760,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,4,4,4,3,5,4,5,5,5,5,5,4,4,600,0,0,1,0,0,0,0,0,0,0,271.6666667,6.12244898,1,0,0,0,487.5,224.5185185,0,0,0
51,4761,1,1,0,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,1,3,4,2,2,3,3,3,2,3,2,3,4,2,4,4,4,4,4,300,0,1,0,0,0,0,0,0,0,0,179,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
52,4777,2,1,0,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,5,5,3,3,3,300,1,0,0,0,0,0,0,0,0,0,201.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
54,4742,2,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,4,4,4,4,4,4,650,0,0,0,0,0,0,0,1,0,0,264,1.149425287,1,0,0,0,650,264,0,0,0
55,4777,2,1,0,4,3,3,4,2,3,3,3,3,3,3,3,2,1,3,2,4,5,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,500,0,0,0,0,0,0,1,0,0,0,214.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
57,4760,2,1,0,5,5,5,3,2,4,4,5,5,1,1,4,3,4,3,3,3,4,4,4,2,3,3,3,3,3,3,2,4,3,3,3,3,2,1,200,1,0,0,0,0,0,0,0,0,0,162,6.12244898,1,0,0,0,487.5,224.5185185,0,0,0
58,4777,2,1,0,5,4,4,5,5,5,5,5,5,5,5,4,4,3,4,5,3,2,4,3,4,4,4,3,4,4,4,4,4,4,5,2,3,2,1,150,0,0,0,0,0,0,0,0,1,0,175.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
59,4760,2,1,0,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,250,0,0,0,0,1,0,0,0,0,0,259,6.12244898,1,0,0,0,487.5,224.5185185,1,0,0
60,4777,2,1,0,5,4,4,5,4,4,4,4,4,4,4,3,3,2,4,4,3,3,3,2,3,3,3,3,4,3,3,3,4,4,3,4,4,3,4,110,1,0,0,0,0,0,0,0,0,0,186.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
61,4584,2,1,0,5,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,2,3,3,3,2,2,3,3,4,4,3,3,4,3,4,4,4,3,2,500,0,0,0,0,0,1,0,0,0,0,244.6666667,7.407407407,1,0,0,0,380,243,0,0,0
62,4777,2,1,0,4,4,3,4,3,4,3,2,2,2,3,3,3,2,3,3,4,3,3,3,4,3,4,4,4,3,4,4,4,4,3,3,4,3,4,317,1,0,0,0,0,0,0,0,0,0,167.3333333,4.166666667,1,0,0,0,325.2857143,188.4285714,0,0,0
63,4731,1,1,0,4,4,4,4,4,4,4,4,4,4,4,3,2,1,2,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,5,4,2,3,2,500,0,0,0,0,1,0,0,0,0,0,185,2.116402116,1,0,0,0,410,184.6666667,1,0,0
64,4761,1,1,0,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,4,3,4,3,4,3,3,1,2,2,2,3,3,4,3,3,3,2,450,1,0,0,0,0,0,0,0,0,0,173.3333333,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
65,4761,1,1,0,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,4,2,2,2,2,3,500,1,0,0,0,0,0,0,0,0,0,241.6666667,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
66,5250,1,2,0,5,5,5,5,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,550,0,1,0,0,0,0,0,0,0,0,200.6666667,7.096774194,0,1,0,0,550,200.6666667,0,0,0
67,4761,1,1,0,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,3,3,3,2,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,400,0,0,1,0,0,0,0,0,0,0,229.6666667,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
68,4760,2,1,0,5,4,4,4,3,4,4,4,4,4,4,4,5,1,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,3,3,1,450,1,0,0,0,0,0,0,0,0,0,196.6666667,6.12244898,1,0,0,0,487.5,224.5185185,0,0,0
69,4688,2,1,0,4,4,4,4,4,4,4,5,5,5,5,4,4,2,3,3,3,4,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,300,0,0,0,0,1,0,0,0,0,0,185.3333333,2.489626556,1,0,0,0,400,176.3333333,1,0,0
71,4761,1,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,2,4,4,3,4,4,4,3,3,4,4,4,3,5,4,3,4,3,300,0,0,0,0,0,0,0,1,0,0,225,5.633802817,1,0,0,0,451.2857143,216.1904762,0,0,0
72,4772,2,1,0,5,4,3,5,4,4,3,3,2,2,3,3,3,4,3,3,4,3,4,4,5,4,3,4,4,4,5,4,4,4,3,3,3,4,2,340,0,1,0,0,0,0,0,0,0,0,203.6666667,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
73,4770,1,1,0,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,450,0,1,0,0,0,0,0,0,0,0,294.6666667,2.916666667,1,0,0,0,450,225.1333333,0,0,0
74,4772,2,1,0,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,800,0,0,0,0,0,0,0,1,0,0,279,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
75,4766,1,1,0,5,5,4,5,5,5,5,5,5,5,5,3,3,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,310,1,0,0,0,0,0,0,0,0,0,260.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,1,0,0
76,4766,1,1,0,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,2,500,1,0,0,0,0,0,0,0,0,0,238.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
77,4772,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,2,4,4,3,4,2,2,3,2,3,3,3,4,4,3,3,3,4,400,0,1,0,0,0,0,0,0,0,0,167.3333333,10.07194245,1,0,0,0,348.9166667,225.1794872,2,0,0
78,4772,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,2,2,3,4,5,4,4,5,3,3,4,5,5,5,5,5,300,0,0,0,0,0,0,0,1,0,0,246,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
79,4782,1,1,0,5,4,4,4,5,4,4,3,4,4,5,5,5,3,4,5,3,2,3,2,2,3,3,3,4,3,4,3,3,4,3,3,2,2,4,300,1,0,0,0,0,0,0,0,0,0,199.3333333,4.109589041,1,0,0,0,650,195.6666667,1,0,0
80,4766,1,1,0,5,3,3,5,3,3,3,1,4,5,4,4,3,1,5,4,4,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,1,1,300,0,1,0,0,0,0,0,0,0,0,202.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
81,4766,1,1,1,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,5,2,1,2,1,3,3,3,4,3,1,5,4,3,4,4,3,4,3,2,1000,0,1,0,0,0,0,0,0,0,0,189.3333333,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
82,4766,1,1,0,5,5,5,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,250,0,1,0,0,0,0,0,0,0,0,161.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
84,4780,2,1,0,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,5,4,4,4,4,4,4,4,3,2,600,1,0,0,0,0,0,0,0,0,0,216.3333333,4.87804878,1,0,0,0,550,227.8333333,0,0,0
85,4772,2,1,0,5,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,390,1,0,0,0,0,0,0,0,0,0,223.6666667,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
86,4766,1,1,0,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,2,3,3,2,3,3,4,4,4,3,4,3,4,4,4,4,3,3,1,300,1,0,0,0,0,0,0,0,0,0,239.3333333,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
89,4770,1,1,1,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,2,2,2,400,1,0,0,0,0,0,0,0,0,0,182.6666667,2.916666667,1,0,0,0,450,225.1333333,2,0,0
90,4766,1,1,0,5,4,3,2,4,3,4,5,4,4,3,2,2,1,4,2,3,2,4,2,3,3,4,4,3,4,4,4,4,4,4,4,4,3,4,400,1,0,0,0,0,0,0,0,0,0,237.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
91,4766,1,1,0,3,3,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4,4,3,3,4,4,4,3,4,3,4,3,160,1,0,0,0,0,0,0,0,0,0,272.3333333,5.319148936,1,0,0,0,404.1176471,220.745098,3,0,0
92,4766,1,1,0,4,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,400,1,0,0,0,0,0,0,0,0,0,162.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,1,0,0
93,4766,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4,4,3,3,3,2,3,2,3,3,3,3,3,3,3,600,0,0,0,0,0,0,1,0,0,0,264,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
94,4766,1,1,0,3,3,4,4,3,4,5,5,5,5,5,4,4,3,4,4,2,1,3,2,2,4,4,3,4,3,4,3,3,4,3,3,4,3,4,200,1,0,0,0,0,0,0,0,0,0,177,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
95,4766,1,1,0,5,5,5,5,5,3,3,3,3,3,4,5,5,4,5,5,2,3,4,3,2,3,2,2,2,2,2,3,4,3,4,4,3,3,1,250,1,0,0,0,0,0,0,0,0,0,209.3333333,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
96,4766,1,1,0,4,4,3,5,4,3,3,3,3,3,4,4,5,2,3,4,3,3,4,4,4,3,3,4,4,3,4,3,4,3,4,3,2,2,2,450,0,0,1,0,0,0,0,0,0,0,270,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
97,4766,1,1,0,4,4,4,4,4,5,4,4,5,4,5,4,4,3,4,4,3,4,4,4,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,600,0,0,1,0,0,0,0,0,0,0,270.6666667,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
98,4772,2,1,0,4,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,400,0,0,0,1,0,0,0,0,0,0,264.3333333,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
99,4766,1,1,0,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,3,4,4,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,4,450,0,0,0,0,0,0,0,1,0,0,184.3333333,5.319148936,1,0,0,0,404.1176471,220.745098,1,0,0
100,4772,2,1,0,5,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,4,5,5,4,5,4,4,3,4,4,3,3,3,3,4,4,3,190,1,0,0,0,0,0,0,0,0,0,171,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
101,4718,1,1,0,3,4,4,4,3,4,4,4,4,4,4,3,3,2,3,4,2,1,4,3,2,4,3,2,2,3,3,3,2,3,3,3,2,3,2,400,1,0,0,0,0,0,0,0,0,0,190,1.162790698,1,0,0,0,550,206.8333334,0,0,0
103,4772,2,1,0,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,2,267,1,0,0,0,0,0,0,0,0,0,259.6666667,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
104,4772,2,1,0,5,4,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,5,3,3,4,3,4,5,4,4,3,5,3,5,5,3,3,1,200,0,0,0,0,0,0,1,0,0,0,176,10.07194245,1,0,0,0,348.9166667,225.1794872,1,0,0
105,4704,2,1,0,5,5,5,5,5,4,4,4,4,4,4,5,5,3,5,5,2,2,3,2,5,5,2,3,3,5,5,5,3,5,5,5,3,5,5,250,1,0,0,0,0,0,0,0,0,0,158.6666667,1.762114537,1,0,0,0,600,193.8,1,0,0
106,4772,2,1,0,4,4,4,5,5,3,3,5,5,5,5,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,3,1,500,0,0,0,0,0,0,0,1,0,0,246.3333333,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
108,4772,2,1,0,5,4,4,5,4,4,3,4,4,4,4,5,5,5,5,5,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,100,0,0,0,0,0,0,0,1,0,0,255.3333333,10.07194245,1,0,0,0,348.9166667,225.1794872,0,0,0
109,4766,1,1,0,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,2,2,4,3,4,4,4,4,5,4,5,5,5,5,5,5,5,4,2,400,1,0,0,0,0,0,0,0,0,0,199,5.319148936,1,0,0,0,404.1176471,220.745098,0,0,0
